"Outcome","Home","OrderType","RankAdvantage","BatAdvantage","BowlAdvantage"
1,"home","1st. night",-0.02,-0.22,-0.14
1,"away","1st. night",0.02,0.22,0.14
0,"away","1st. night",-0.12,-0.08,-0.26
0,"home","1st. night",-0.02,-0.22,-0.14
0,"away","2nd. night",-0.12,-0.08,-0.26
1,"home","1st. night",-0.02,-0.22,-0.14
0,"away","1st. night",0.12,0.01,0.01
0,"away","1st. night",-0.12,-0.08,-0.26
0,"away","2nd. day",0.02,0.22,0.14
1,"away","1st. night",-0.12,-0.08,-0.26
0,"home","2nd. night",-0.12,-0.01,-0.01
1,"home","1st. night",0.12,0.08,0.26
0,"home","1st. night",-0.12,-0.01,-0.01
0,"away","1st. night",-0.12,-0.08,-0.26
0,"home","2nd. night",-0.12,-0.01,-0.01
1,"home","2nd. day",0.4,0.14,0.09
0,"away","2nd. day",0.12,0.01,0.01
1,"home","1st. day",0.12,0.08,0.26
0,"away","2nd. day",-0.4,-0.14,-0.09
0,"home","2nd. night",-0.4,-0.23,-0.18
0,"neutral","1st. day",-0.64,-0.52,-0.29
1,"home","1st. night",0.82,0.65,0.7
1,"neutral","1st. night",0.71,0.3,0.43
0,"neutral","1st. night",-0.14,-0.64,-0.46
1,"neutral","1st. night",0.76,0.53,0.3
1,"neutral","2nd. night",0.38,0.07,-0.05
1,"neutral","2nd. day",0.26,0.14,0.11
1,"home","1st. night",0.22,0.32,0.27
1,"away","1st. night",-0.06,-0.05,-0.06
0,"neutral","2nd. night",-0.39,-0.5,-0.59
0,"away","1st. night",-0.82,-0.59,-0.49
0,"neutral","1st. night",0.58,0.47,0.31
0,"neutral","2nd. day",-0.77,-0.55,-0.58
1,"neutral","1st. night",0.76,0.63,0.57
0,"neutral","1st. day",-0.64,-0.16,-0.31
0,"home","1st. night",0.0001,0.08,-0.17
1,"neutral","1st. day",-0.02,0.07,-0.03
1,"home","2nd. night",0.62,0.62,0.45
1,"neutral","1st. night",-0.12,-0.02,-0.02
0,"away","1st. night",-0.79,-0.77,-0.69
0,"away","2nd. night",-0.82,-0.23,-0.4
0,"neutral","2nd. day",-0.22,-0.31,-0.34
1,"neutral","2nd. night",-0.36,-0.08,-0.22
0,"home","1st. night",0.02,0.22,0.11
0,"neutral","2nd. day",-0.64,-0.61,-0.55
1,"neutral","1st. night",0.9,0.65,0.42
0,"neutral","1st. day",-0.39,-0.54,-0.41
0,"neutral","1st. night",-0.76,-0.18,-0.33
0,"neutral","2nd. night",-0.6,-0.4,-0.34
0,"neutral","1st. night",-0.9,-0.74,-0.57
1,"neutral","1st. night",0.36,0.16,-0.03
1,"neutral","1st. night",0.18,0.07,0.09
1,"away","1st. day",0.38,0.01,0.17
0,"neutral","1st. night",0.14,0.11,0.0001
1,"home","1st. night",0.4,0.31,0.11
0,"neutral","1st. night",-0.34,-0.12,-0.05
0,"away","1st. night",0.08,-0.08,-0.06
1,"neutral","1st. night",-0.16,0.01,0.03
0,"away","1st. night",-0.04,-0.01,-0.15
0,"away","1st. night",-0.18,-0.07,-0.09
1,"home","1st. night",0.06,0.19,0.06
0,"away","1st. night",-0.03,-0.11,0.02
0,"home","2nd. day",-0.47,-0.16,0.09
0,"home","1st. day",-0.47,-0.16,0.09
1,"away","1st. night",0.47,0.16,-0.09
0,"home","1st. day",-0.27,-0.09,-0.07
1,"away","2nd. day",0.27,0.09,0.07
1,"away","2nd. day",0.27,0.09,0.07
1,"home","2nd. day",-0.27,-0.09,-0.07
0,"away","1st. day",0.27,0.09,0.07
1,"away","2nd. day",0.47,0.27,0.52
0,"home","1st. day",-0.47,-0.27,-0.52
0,"home","1st. day",-0.42,-0.27,-0.09
1,"away","2nd. day",0.42,0.27,0.09
1,"away","2nd. day",0.42,0.27,0.09
0,"away","2nd. day",0.42,0.27,0.09
1,"home","2nd. day",-0.42,-0.27,-0.09
0,"away","2nd. night",0.1,0.18,0.36
0,"home","2nd. day",-0.1,-0.15,-0.31
0,"home","1st. day",-0.1,-0.15,-0.33
1,"home","2nd. night",-0.1,-0.15,-0.33
1,"home","1st. day",-0.1,-0.15,-0.33
0,"home","2nd. day",-0.82,-0.77,-0.87
0,"home","1st. night",-0.08,-0.08,0.09
1,"home","2nd. day",-0.24,-0.05,-0.27
1,"home","2nd. day",-0.24,-0.05,-0.27
0,"home","1st. night",-0.08,-0.08,0.09
0,"away","2nd. day",0.24,0.05,0.27
0,"away","2nd. night",0.08,0.08,-0.09
1,"away","2nd. day",0.24,0.05,0.27
0,"home","1st. night",-0.08,-0.08,0.09
0,"home","2nd. day",-0.24,-0.05,-0.27
1,"home","2nd. night",-0.08,-0.08,0.09
0,"home","2nd. day",-0.49,-0.15,-0.13
1,"home","2nd. night",-0.13,-0.28,-0.33
1,"away","1st. day",0.51,0.11,0.38
1,"home","2nd. night",-0.13,-0.28,-0.33
0,"home","1st. day",-0.51,-0.11,-0.38
0,"home","2nd. day",-0.51,-0.11,-0.38
1,"home","2nd. night",-0.13,-0.28,-0.33
0,"home","2nd. night",-0.12,-0.16,0.0001
1,"home","1st. night",0.13,0.16,0.26
0,"home","1st. night",-0.12,-0.16,0.0001
0,"away","1st. night",0.01,-0.16,-0.26
1,"neutral","2nd. night",-0.12,-0.16,0.0001
0,"home","2nd. night",-0.11,-0.09,0.02
0,"home","1st. day",-0.35,0.01,-0.28
0,"away","1st. night",0.01,-0.16,-0.26
1,"away","2nd. day",0.35,-0.01,0.28
0,"away","1st. night",0.01,-0.16,-0.26
1,"home","1st. night",-0.11,-0.09,0.02
0,"away","1st. day",0.35,-0.01,0.28
0,"away","2nd. night",0.01,-0.16,-0.26
0,"home","1st. night",-0.11,-0.09,0.02
0,"neutral","1st. night",0.14,0.03,-0.03
1,"neutral","1st. night",0.14,0.03,-0.03
1,"neutral","1st. night",-0.14,-0.03,0.03
1,"neutral","1st. night",-0.14,-0.03,0.03
0,"neutral","1st. night",0.14,0.03,-0.03
1,"home","2nd. night",0.26,0.23,0.05
0,"home","1st. night",-0.3,-0.24,-0.07
1,"home","2nd. night",0.26,0.23,0.05
1,"away","1st. night",0.3,0.24,0.07
0,"home","2nd. night",0.26,0.23,0.05
1,"neutral","1st. night",0.3,0.24,0.07
1,"home","1st. night",0.26,0.23,0.05
1,"home","1st. night",0.26,0.23,0.05
1,"home","1st. night",-0.03,0.06,0.06
1,"home","2nd. day",-0.03,0.06,0.06
0,"away","1st. night",0.03,-0.06,-0.06
0,"home","1st. night",-0.03,0.06,0.06
1,"away","2nd. day",0.03,-0.06,-0.06
0,"away","2nd. day",-0.35,-0.08,-0.3
0,"away","2nd. night",-0.14,0.06,0.04
0,"away","2nd. day",-0.35,-0.08,-0.3
0,"neutral","1st. night",0.06,-0.23,-0.03
1,"home","1st. night",0.35,0.08,0.3
0,"away","2nd. night",-0.08,-0.17,0.01
0,"neutral","1st. night",-0.58,-0.74,-0.8
0,"home","1st. night",0.14,-0.06,-0.04
1,"neutral","1st. night",0.09,-0.01,-0.24
1,"neutral","1st. night",0.09,-0.01,-0.24
0,"home","1st. night",0.08,0.17,-0.01
0,"neutral","1st. night",-0.09,0.01,0.24
1,"home","1st. night",0.14,-0.06,-0.04
1,"neutral","1st. night",0.06,-0.23,-0.03
0,"neutral","1st. night",-0.09,0.01,0.24
0,"home","1st. night",0.08,0.17,-0.01
0,"home","1st. night",-0.2,-0.03,-0.04
1,"home","1st. night",0.14,-0.06,-0.04
1,"neutral","2nd. night",-0.06,0.23,0.03
1,"away","2nd. night",0.2,0.03,0.04
1,"away","1st. night",-0.08,-0.17,0.01
1,"away","2nd. night",0.2,0.03,0.04
1,"home","1st. night",0.08,0.17,-0.01
0,"home","1st. night",0.08,0.17,-0.01
0,"away","2nd. night",-0.08,-0.17,0.01
0,"home","2nd. night",-0.3,-0.18,-0.1
0,"neutral","2nd. night",0.06,-0.23,-0.03
0,"neutral","1st. night",0.14,-0.07,-0.07
1,"home","2nd. night",-0.38,-0.34,-0.06
1,"away","1st. day",0.4,0.15,0.03
0,"neutral","1st. night",-0.08,-0.16,0.04
1,"home","2nd. day",-0.4,-0.15,-0.03
1,"home","2nd. night",-0.44,-0.11,-0.03
0,"home","2nd. night",-0.3,-0.18,-0.1
0,"away","2nd. day",0.4,0.15,0.03
0,"home","2nd. day",-0.4,-0.15,-0.03
0,"neutral","1st. day",-0.02,0.0001,-0.11
1,"neutral","2nd. day",-0.02,0.0001,-0.11
0,"home","1st. night",0.04,-0.02,-0.05
1,"home","1st. night",0.04,-0.02,-0.05
1,"home","1st. night",0.04,-0.02,-0.05
0,"away","2nd. day",-0.2,-0.08,-0.08
0,"away","1st. night",-0.04,0.02,0.05
1,"home","2nd. day",0.2,0.08,0.08
0,"away","2nd. day",0.1,0.02,-0.08
0,"away","1st. day",0.1,0.0001,-0.22
0,"away","2nd. day",-0.19,-0.53,-0.43
1,"home","2nd. day",0.0001,-0.01,0.06
1,"home","2nd. day",-0.1,0.0001,0.22
0,"away","2nd. day",0.0001,0.01,-0.06
1,"home","2nd. night",-0.1,0.0001,0.22
0,"home","2nd. day",0.0001,-0.01,0.06
1,"home","1st. day",0.0001,-0.01,0.06
1,"home","1st. day",0.0001,-0.01,0.06
1,"away","1st. night",0.06,0.15,-0.01
0,"away","1st. night",0.06,0.15,-0.01
0,"home","1st. night",-0.06,-0.15,0.01
0,"home","1st. night",-0.06,-0.15,0.01
1,"away","1st. night",0.06,0.15,-0.01
1,"neutral","1st. night",0.9,0.78,0.58
1,"away","1st. night",0.06,-0.11,-0.19
0,"neutral","1st. night",-0.15,-0.08,0.21
0,"away","1st. night",0.06,-0.11,-0.19
0,"neutral","1st. night",0.15,0.08,-0.21
1,"home","2nd. day",-0.06,0.11,0.19
1,"neutral","2nd. night",0.15,0.08,-0.21
0,"home","1st. night",0.0001,-0.11,0.19
0,"away","1st. night",-0.28,0.01,-0.12
1,"home","2nd. night",0.28,-0.01,0.12
1,"home","2nd. night",0.28,-0.01,0.12
0,"away","1st. day",0.19,0.13,0.12
0,"away","2nd. day",0.19,0.13,0.12
1,"away","2nd. night",0.19,0.13,0.12
0,"home","2nd. night",-0.19,-0.13,-0.12
1,"home","2nd. night",-0.19,-0.13,-0.12
